time,station,magnitude,distance_km
2022-05-26 15:50:36.420,KNDC,5.09,62.85429271084118
2022-05-26 15:50:36.420,PDGK,5.09,151.98019293348423
2022-12-28 17:16:37.380,PDGK,5.01,163.00655767593662
2023-05-27 00:15:41.750,OTUK,4.57,99.32206810351299
2023-11-02 09:25:17.580,KKAR,4.75,85.49519560283117
